number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
41,-0.3475208282470703,2026-01-26 01:44:14.379717,2026-01-26 01:44:14.682496,0 days 00:00:00.302779,9.759141759438078,0.8284834974449623,0.052958630204343785,2.2882060971607316,0.1303463457818839,3,6,391,0.6981700442603725,COMPLETE
42,-0.3184175491333008,2026-01-26 01:44:14.682870,2026-01-26 01:44:14.909019,0 days 00:00:00.226149,9.80698410640577,0.8241145511968018,0.05399175155844409,1.3115970480786416,0.13121329080720706,3,6,397,0.7395224089571347,COMPLETE
43,-0.3325898051261902,2026-01-26 01:44:14.909405,2026-01-26 01:44:15.212420,0 days 00:00:00.303015,9.292197890151833,0.8630747184275681,0.07566073530047839,2.43067796078273,0.12365940620462923,3,6,431,0.6990537388735157,COMPLETE
44,-0.3387395143508911,2026-01-26 01:44:15.212795,2026-01-26 01:44:15.636171,0 days 00:00:00.423376,8.789000968995317,0.8243988954744145,0.034238826677180374,2.1932895652013187,0.22786035473392827,3,5,466,0.6553767967932138,COMPLETE
45,-0.32356971502304077,2026-01-26 01:44:15.636556,2026-01-26 01:44:16.045768,0 days 00:00:00.409212,8.761405668889255,0.81377690411684,0.03182619249893915,2.151705594149154,0.40153018341478486,3,5,467,0.650795806188908,COMPLETE
46,-0.32665926218032837,2026-01-26 01:44:16.046163,2026-01-26 01:44:16.339907,0 days 00:00:00.293744,9.571378467541592,0.7817081598782502,0.04771477608554025,1.3016663535066249,0.22408819150177653,3,5,422,0.7191330649161326,COMPLETE
47,-0.31853431463241577,2026-01-26 01:44:16.340335,2026-01-26 01:44:16.679246,0 days 00:00:00.338911,9.965095403268041,0.8386811109090785,0.05489960538594475,1.8774909626574454,0.2855053273937179,3,3,386,0.7911010921707677,COMPLETE
48,-0.29401838779449463,2026-01-26 01:44:16.679635,2026-01-26 01:44:16.843032,0 days 00:00:00.163397,9.134147443826867,0.7446326777168286,0.07768492815072667,2.3675719959286003,0.3699471914370563,3,4,470,0.6280966245494243,COMPLETE
49,-0.320523738861084,2026-01-26 01:44:16.843597,2026-01-26 01:44:18.124576,0 days 00:00:01.280979,7.797150313093946,0.8786886791787697,0.02436690838489028,1.6555327040136476,0.5850664157682792,8,6,497,0.6172214189708939,COMPLETE
50,-0.32171380519866943,2026-01-26 01:44:18.124979,2026-01-26 01:44:18.554903,0 days 00:00:00.429924,8.829070909247228,0.858550386807796,0.03267126309611525,2.015653842446026,0.2549849446656352,3,3,420,0.741411140685531,COMPLETE
51,-0.3145899772644043,2026-01-26 01:44:18.555321,2026-01-26 01:44:18.883531,0 days 00:00:00.328210,9.411978770532718,0.8191959986498675,0.03576103044280163,2.677753703021539,0.12086987623733193,4,7,357,0.6924024044094587,COMPLETE
